frame_number,track_id,x1,y1,x2,y2
3,2,465,160,932,388
3,3,865,187,1743,436
3,4,415,419,871,918
3,5,173,264,364,612
3,6,1100,344,2229,783
3,7,741,83,1472,211
3,8,918,125,1832,302
3,9,404,155,810,371
3,10,744,194,1504,457
3,11,1157,256,2347,597
3,12,1263,152,2544,364
3,13,531,429,1109,947
3,14,587,95,1175,241
3,15,603,52,1202,142
3,16,670,221,1334,518
3,17,500,432,1037,947
3,18,525,452,1031,971
4,2,485,161,953,387
4,3,882,185,1761,434
4,4,429,417,885,916
4,5,188,264,381,612
4,6,1090,343,2218,782
4,7,760,83,1490,211
4,8,937,125,1849,302
4,9,425,155,831,371
4,10,759,193,1521,457
4,11,1170,257,2358,597
4,12,1269,154,2554,367
4,13,532,429,1108,945
4,14,605,96,1195,243
4,15,621,53,1223,144
4,16,688,221,1354,518
4,17,503,434,1038,948
4,18,492,486,995,1003
4,20,833,463,1695,1017
5,2,503,161,973,387
5,3,898,185,1780,434
5,4,443,416,901,915
5,5,201,265,395,612
5,6,1088,344,2220,784
5,7,777,82,1511,211
5,8,954,125,1871,302
5,9,444,154,853,371
5,10,772,192,1539,458
5,11,1181,257,2371,597
5,12,1275,156,2564,370
5,13,533,428,1110,946
5,14,623,97,1217,244
5,15,640,52,1241,143
5,16,704,222,1373,520
5,17,500,434,1032,945
5,18,479,496,980,1011
5,20,850,462,1703,1009
6,2,520,160,992,386
6,3,911,185,1794,434
6,4,449,414,909,913
6,5,213,266,410,614
6,6,1095,346,2230,788
6,7,795,83,1530,211
6,8,969,124,1895,302
6,9,461,154,872,370
6,10,786,193,1557,459
6,11,1194,257,2387,597
6,12,1281,158,2574,373
6,13,542,427,1118,943
6,14,643,97,1237,244
6,15,660,52,1260,141
6,16,720,223,1392,521
6,17,503,436,1027,937
6,18,474,504,973,1017
6,20,860,460,1714,1006
7,2,537,159,1011,385
7,3,923,185,1811,434
7,4,454,413,916,912
7,5,223,266,422,613
7,6,1105,348,2243,790
7,7,812,83,1550,211
7,8,986,124,1916,302
7,9,477,154,890,369
7,10,801,194,1575,460
7,11,1209,256,2405,597
7,12,1287,160,2584,376
7,13,549,424,1126,940
7,14,661,97,1257,243
7,15,678,51,1280,141
7,16,734,224,1411,522
7,17,503,440,1040,953
7,18,466,512,964,1024
7,20,872,458,1727,1003
8,2,552,159,1031,384
8,3,937,185,1831,435
8,4,461,412,925,910
8,5,234,266,436,612
8,6,1124,348,2255,787
8,7,829,83,1571,211
8,8,1000,124,1940,304
8,9,492,154,909,369
8,10,815,195,1595,462
8,11,1220,255,2421,597
8,12,1293,163,2593,379
8,13,562,420,1137,934
8,14,676,96,1278,242
8,15,690,49,1303,140
8,16,749,224,1431,522
8,17,506,442,1048,960
8,18,458,521,955,1032
8,20,883,455,1742,1000
9,2,566,158,1051,384
9,3,950,185,1852,436
9,4,474,412,941,909
9,5,246,265,451,610
9,6,1128,347,2262,787
9,7,843,83,1594,211
9,8,1014,125,1962,305
9,9,507,154,930,369
9,10,828,197,1612,464
9,11,1227,256,2437,599
9,12,1299,165,2603,381
9,13,572,417,1144,926
9,14,691,95,1297,241
9,15,703,48,1327,140
9,16,764,224,1453,523
